"","Name","cluster"
"120","2'-Deoxyadenosine",6.4743
"121","2'-Deoxyadenosine",6.4743
"122","2'-Deoxyadenosine",6.4743
"123","2'-Deoxyadenosine",6.4743
"124","2'-Deoxyadenosine",6.4743
"125","2'-Deoxyadenosine",6.4743
"126","2'-Deoxyadenosine",6.4743
"127","2'-Deoxyadenosine",6.4743
"128","2'-Deoxyadenosine",8.23814
"129","2'-Deoxyadenosine",8.3177
"130","Alanine",1.46943
"131","Alanine",1.46943
"132","Alanine",3.77789
"133","Alanine",3.77789
"134","Alanine",3.77789
"135","Alanine",3.77789
"136","Creatine",3.02566
"137","Creatine",3.92048
"138","Choline",3.18943
"139","Choline",3.18943
"140","Choline",3.18943
"141","Choline",3.50631
"142","Choline",3.50631
"143","Choline",3.50631
"144","Choline",3.50631
"145","Choline",3.50631
"146","Choline",3.50631
"147","Choline",3.50631
"148","Choline",3.50631
"149","Choline",3.50631
"150","Choline",3.50631
"151","Choline",3.50631
"152","Choline",3.50631
"153","Choline",3.50631
"154","Choline",3.50631
"155","Choline",3.50631
"156","Choline",3.50631
"157","Choline",3.50631
"158","Choline",3.50631
"159","Choline",3.50631
"160","Choline",3.50631
"161","Choline",3.50631
"162","Choline",3.50631
"163","Choline",3.50631
"164","Choline",3.50631
"165","Choline",4.0569
"166","Choline",4.0569
"167","Choline",4.0569
"168","Choline",4.0569
"169","Choline",4.0569
"170","Choline",4.0569
"171","Choline",4.0569
"172","Choline",4.0569
"173","Choline",4.0569
"174","Choline",4.0569
"175","Choline",4.0569
"176","Choline",4.0569
"177","Choline",4.0569
"178","Choline",4.0569
"179","Choline",4.0569
"180","Choline",4.0569
"181","Choline",4.0569
"182","Choline",4.0569
"183","Choline",4.0569
"184","Choline",4.0569
"185","Choline",4.0569
"186","Choline",4.0569
"187","Choline",4.0569
"188","Choline",4.0569
"189","Choline",4.0569
"190","Choline",4.0569
"191","Choline",4.0569
"192","Choline",4.0569
"193","Choline",4.0569
"194","Choline",4.0569
"195","Choline",4.0569
"196","Choline",4.0569
"197","Choline",4.0569
"198","Choline",4.0569
"199","Choline",4.0569
"200","Choline",4.0569
"201","Choline",4.0569
"202","Choline",4.0569
"203","Choline",4.0569
"204","Choline",4.0569
"205","Choline",4.0569
"206","Choline",4.0569
"207","Choline",4.0569
"208","Choline",4.0569
"209","Choline",4.0569
"210","Choline",4.0569
"211","Choline",4.0569
"212","Choline",4.0569
"213","Choline",4.0569
"214","Choline",4.0569
"215","Choline",4.0569
"216","Choline",4.0569
"217","Choline",4.0569
"218","Choline",4.0569
"219","Choline",4.0569
"220","Choline",4.0569
"221","Choline",4.0569
"222","Choline",4.0569
"223","Choline",4.0569
"224","Choline",4.0569
"225","Choline",4.0569
"226","Choline",4.0569
"227","Choline",4.0569
"228","Choline",4.0569
"229","Choline",4.0569
"230","Choline",4.0569
"231","Choline",4.0569
"232","Choline",4.0569
"233","Choline",4.0569
"234","Choline",4.0569
"235","Choline",4.0569
"236","Choline",4.0569
"237","2'-Deoxyguanosine",2.50207
"238","2'-Deoxyguanosine",2.50207
"239","2'-Deoxyguanosine",2.50207
"240","2'-Deoxyguanosine",2.50207
"241","2'-Deoxyguanosine",2.50207
"242","2'-Deoxyguanosine",2.50207
"243","2'-Deoxyguanosine",2.50207
"244","2'-Deoxyguanosine",2.50207
"245","2'-Deoxyguanosine",2.77831
"246","2'-Deoxyguanosine",2.77831
"247","2'-Deoxyguanosine",2.77831
"248","2'-Deoxyguanosine",2.77831
"249","2'-Deoxyguanosine",2.77831
"250","2'-Deoxyguanosine",2.77831
"251","2'-Deoxyguanosine",2.77831
"252","2'-Deoxyguanosine",2.77831
"253","2'-Deoxyguanosine",3.75449
"254","2'-Deoxyguanosine",3.75449
"255","2'-Deoxyguanosine",3.75449
"256","2'-Deoxyguanosine",3.75449
"257","2'-Deoxyguanosine",3.81188
"258","2'-Deoxyguanosine",3.81188
"259","2'-Deoxyguanosine",3.81188
"260","2'-Deoxyguanosine",3.81188
"261","2'-Deoxyguanosine",4.11942
"262","2'-Deoxyguanosine",4.11942
"263","2'-Deoxyguanosine",4.11942
"264","2'-Deoxyguanosine",4.11942
"265","2'-Deoxyguanosine",4.11942
"266","2'-Deoxyguanosine",4.11942
"267","2'-Deoxyguanosine",4.11942
"268","2'-Deoxyguanosine",4.11942
"269","2'-Deoxyguanosine",4.61425
"270","2'-Deoxyguanosine",4.61425
"271","2'-Deoxyguanosine",4.61425
"272","2'-Deoxyguanosine",4.61425
"273","2'-Deoxyguanosine",4.61425
"274","2'-Deoxyguanosine",4.61425
"275","2'-Deoxyguanosine",4.61425
"276","2'-Deoxyguanosine",4.61425
"277","2'-Deoxyguanosine",6.29546
"278","2'-Deoxyguanosine",6.29546
"279","2'-Deoxyguanosine",6.29546
"280","2'-Deoxyguanosine",6.29546
"281","2'-Deoxyguanosine",7.98162
"282","2'-Deoxyinosine",2.58913
"283","2'-Deoxyinosine",2.58913
"284","2'-Deoxyinosine",2.58913
"285","2'-Deoxyinosine",2.58913
"286","2'-Deoxyinosine",2.58913
"287","2'-Deoxyinosine",2.58913
"288","2'-Deoxyinosine",2.58913
"289","2'-Deoxyinosine",2.58913
"290","2'-Deoxyinosine",2.83951
"291","2'-Deoxyinosine",2.83951
"292","2'-Deoxyinosine",2.83951
"293","2'-Deoxyinosine",2.83951
"294","2'-Deoxyinosine",2.83951
"295","2'-Deoxyinosine",2.83951
"296","2'-Deoxyinosine",2.83951
"297","2'-Deoxyinosine",2.83951
"298","2'-Deoxyinosine",3.76996
"299","2'-Deoxyinosine",3.76996
"300","2'-Deoxyinosine",3.76996
"301","2'-Deoxyinosine",3.76996
"302","2'-Deoxyinosine",3.82862
"303","2'-Deoxyinosine",3.82862
"304","2'-Deoxyinosine",3.82862
"305","2'-Deoxyinosine",3.82862
"306","2'-Deoxyinosine",4.16408
"307","2'-Deoxyinosine",4.16408
"308","2'-Deoxyinosine",4.16408
"309","2'-Deoxyinosine",4.16408
"310","2'-Deoxyinosine",4.16408
"311","2'-Deoxyinosine",4.16408
"312","2'-Deoxyinosine",4.16408
"313","2'-Deoxyinosine",4.16408
"314","2'-Deoxyinosine",4.64664
"315","2'-Deoxyinosine",4.64664
"316","2'-Deoxyinosine",4.64664
"317","2'-Deoxyinosine",4.64664
"318","2'-Deoxyinosine",4.64664
"319","2'-Deoxyinosine",4.64664
"320","2'-Deoxyinosine",4.64664
"321","2'-Deoxyinosine",4.64664
"322","2'-Deoxyinosine",6.48433
"323","2'-Deoxyinosine",6.48433
"324","2'-Deoxyinosine",6.48433
"325","2'-Deoxyinosine",6.48433
"326","2'-Deoxyinosine",8.21476
